amfi_code,scheme_name,benchmark,beta,alpha_pct,r_squared,p_value
100016,HDFC Top 100 Fund - Regular Plan - Growth,NIFTY 100 TRI,-0.0583,3.7476,0.0027,0.080264
100025,HDFC Short Term Debt Fund - Regular - Growth,CRISIL Short Term Bond Index,0.0012,4.2818,0.0,0.897012
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY Midcap 150 TRI,0.0051,27.1954,0.0,0.906369
101206,ABSL Frontline Equity Fund - Regular - Growth,NIFTY 100 TRI,0.0211,21.3998,0.0003,0.527551
101207,ABSL Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,-0.0653,10.8971,0.0011,0.269234
101208,ABSL Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,0.0003,6.0861,0.0,0.818214
102885,UTI Nifty 50 Index Fund - Regular - Growth,NIFTY 50 TRI,-0.0195,17.0488,0.0004,0.507595
102886,UTI Mid Cap Fund - Regular - Growth,NIFTY Midcap 150 TRI,-0.0421,2.8969,0.0009,0.310578
102887,UTI Flexi Cap Fund - Regular - Growth,NIFTY 500 TRI,0.0167,16.2113,0.0002,0.644047
118632,Nippon India Large Cap Fund - Regular - Growth,NIFTY 100 TRI,-0.0084,21.8294,0.0001,0.796646
118633,Nippon India Large Cap Fund - Direct - Growth,NIFTY 100 TRI,-0.0366,15.6438,0.0011,0.253157
118634,Nippon India Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,0.1035,17.5007,0.0028,0.073339
118635,Nippon India ETF Nifty 50 BeES,NIFTY 50 TRI,-0.0014,15.1364,0.0,0.961567
118636,Nippon India Gilt Securities Fund - Regular - Growth,CRISIL Dynamic Gilt Index,0.0013,5.0748,0.0,0.890549
119092,Axis Bluechip Fund - Regular - Growth,NIFTY 100 TRI,0.0097,6.8995,0.0001,0.760808
119093,Axis Bluechip Fund - Direct - Growth,NIFTY 100 TRI,0.0259,8.2328,0.0006,0.419121
119094,Axis Midcap Fund - Regular - Growth,NIFTY Midcap 50 TRI,-0.0663,26.0767,0.0019,0.135988
119095,Axis Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,-0.067,4.8016,0.0012,0.243608
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,CRISIL Dynamic Gilt Index,-0.0064,5.6209,0.0004,0.480386
119551,SBI Bluechip Fund - Regular Plan - Growth,NIFTY 100 TRI,-0.0318,23.201,0.0009,0.313143
119552,SBI Bluechip Fund - Direct Plan - Growth,NIFTY 100 TRI,-0.0262,19.8686,0.0006,0.412706
119598,SBI Small Cap Fund - Regular Plan - Growth,BSE 250 SmallCap TRI,-0.0232,30.337,0.0001,0.687179
119599,SBI Small Cap Fund - Direct Plan - Growth,BSE 250 SmallCap TRI,0.062,4.8824,0.001,0.278004
120503,ICICI Pru Bluechip Fund - Regular - Growth,NIFTY 100 TRI,-0.0403,17.7033,0.0014,0.205437
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY 100 TRI,0.0162,21.1948,0.0002,0.621855
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY Midcap 150 TRI,0.0005,29.2636,0.0,0.99009
120506,ICICI Pru Value Discovery Fund - Regular - Growth,NIFTY 500 TRI,0.0419,16.2539,0.0013,0.229785
120507,ICICI Pru Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,-0.0004,6.7462,0.0001,0.694748
120841,Kotak Bluechip Fund - Regular - Growth,NIFTY 100 TRI,0.0364,13.0429,0.0012,0.238459
120842,Kotak Emerging Equity Fund - Regular - Growth,NIFTY Midcap 150 TRI,0.0181,7.8044,0.0002,0.659647
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY 500 TRI,-0.0228,27.3305,0.0003,0.530528
120844,Kotak Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,-0.0004,6.4557,0.0001,0.73331
125497,HDFC Top 100 Fund - Direct Plan - Growth,NIFTY 100 TRI,0.0488,17.7298,0.0018,0.146176
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,NIFTY Midcap 150 TRI,0.0091,11.9891,0.0,0.829518
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY 100 TRI,0.0237,26.9838,0.0005,0.466427
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,NIFTY Large Midcap 250 TRI,-0.0264,20.873,0.0005,0.45537
148569,Mirae Asset Tax Saver Fund - Regular - Growth,NIFTY 500 TRI,0.0181,28.2704,0.0002,0.654295
149322,DSP Top 100 Equity Fund - Regular - Growth,NIFTY 100 TRI,-0.0041,13.1732,0.0,0.90199
149323,DSP Midcap Fund - Regular - Growth,NIFTY Midcap 150 TRI,-0.0025,26.5986,0.0,0.950525
149324,DSP Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,0.0115,30.0579,0.0,0.840494
