amfi_code,scheme_name,category,trading_days,annualized_return_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,1608,1.81
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,1608,3.05
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,1608,19.91
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,1608,15.69
101207,ABSL Small Cap Fund - Regular - Growth,Equity,1608,5.41
101208,ABSL Liquid Fund - Regular - Growth,Debt,1608,4.44
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,1608,12.24
102886,UTI Mid Cap Fund - Regular - Growth,Equity,1608,0.81
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,1608,11.33
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,1608,16.02
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,1608,10.96
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,1608,11.02
118635,Nippon India ETF Nifty 50 BeES,Equity,1608,10.75
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,1608,3.64
119092,Axis Bluechip Fund - Regular - Growth,Equity,1608,4.35
119093,Axis Bluechip Fund - Direct - Growth,Equity,1608,5.38
119094,Axis Midcap Fund - Regular - Growth,Equity,1608,18.69
119095,Axis Small Cap Fund - Regular - Growth,Equity,1608,1.05
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,1608,4.02
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,1608,17.15
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,1608,14.39
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,1608,21.37
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,1608,1.41
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,1608,12.6
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,1608,15.53
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,1608,21.62
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,1608,11.49
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,1608,4.94
120841,Kotak Bluechip Fund - Regular - Growth,Equity,1608,9.15
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,1608,4.57
120843,Kotak Flexicap Fund - Regular - Growth,Equity,1608,20.41
120844,Kotak Liquid Fund - Regular - Growth,Debt,1608,4.72
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,1608,12.75
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,1608,7.66
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,1608,20.45
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,1608,15.03
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,1608,21.07
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,1608,9.05
149323,DSP Midcap Fund - Regular - Growth,Equity,1608,19.56
149324,DSP Small Cap Fund - Regular - Growth,Equity,1608,21.28
