amfi_code,scheme_name,hhi_sector,diversification_score,num_sectors,top_sector,concentration_level
100016,HDFC Top 100 Fund - Regular Plan - Growth,1805.88,93.65,8,IT,Moderate
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2276.47,90.11,7,Banking,Moderate
101206,ABSL Frontline Equity Fund - Regular - Growth,1800.42,95.66,7,Banking,Moderate
101207,ABSL Small Cap Fund - Regular - Growth,2227.27,93.27,6,Pharma,Moderate
102885,UTI Nifty 50 Index Fund - Regular - Growth,1807.12,93.63,8,Utilities,Moderate
102886,UTI Mid Cap Fund - Regular - Growth,1240.2,97.33,10,Consumer Goods,Low
102887,UTI Flexi Cap Fund - Regular - Growth,2513.83,89.83,6,Pharma,High
118632,Nippon India Large Cap Fund - Regular - Growth,2072.59,95.13,6,Telecom,Moderate
118633,Nippon India Large Cap Fund - Direct - Growth,2212.0,90.86,7,Banking,Moderate
118634,Nippon India Small Cap Fund - Regular - Growth,1602.99,95.97,8,FMCG,Moderate
118635,Nippon India ETF Nifty 50 BeES,2374.97,91.5,6,IT,Moderate
119092,Axis Bluechip Fund - Regular - Growth,2967.69,82.04,7,IT,High
119093,Axis Bluechip Fund - Direct - Growth,1842.33,93.23,8,IT,Moderate
119094,Axis Midcap Fund - Regular - Growth,1751.0,98.99,6,FMCG,Moderate
119095,Axis Small Cap Fund - Regular - Growth,1595.82,96.05,8,IT,Moderate
119551,SBI Bluechip Fund - Regular Plan - Growth,1424.91,98.0,8,Utilities,Low
119552,SBI Bluechip Fund - Direct Plan - Growth,2275.08,90.12,7,Automobile,Moderate
119598,SBI Small Cap Fund - Regular Plan - Growth,1880.85,94.72,7,IT,Moderate
119599,SBI Small Cap Fund - Direct Plan - Growth,2323.61,89.56,7,Banking,Moderate
120503,ICICI Pru Bluechip Fund - Regular - Growth,1821.68,95.41,7,FMCG,Moderate
120504,ICICI Pru Bluechip Fund - Direct - Growth,2212.13,89.0,8,Banking,Moderate
120505,ICICI Pru Midcap Fund - Regular - Growth,2386.95,88.82,7,Pharma,Moderate
120506,ICICI Pru Value Discovery Fund - Regular - Growth,2314.64,89.66,7,Banking,Moderate
120841,Kotak Bluechip Fund - Regular - Growth,2158.93,91.48,7,Pharma,Moderate
120842,Kotak Emerging Equity Fund - Regular - Growth,1620.62,95.76,8,Automobile,Moderate
120843,Kotak Flexicap Fund - Regular - Growth,1362.06,97.18,9,Utilities,Low
125497,HDFC Top 100 Fund - Direct Plan - Growth,1724.11,96.55,7,IT,Moderate
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,2531.55,89.62,6,Banking,High
148567,Mirae Asset Large Cap Fund - Regular - Growth,2012.48,95.85,6,Banking,Moderate
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,2180.86,93.83,6,Banking,Moderate
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2549.92,86.92,7,Banking,High
149322,DSP Top 100 Equity Fund - Regular - Growth,1826.95,95.35,7,Banking,Moderate
149323,DSP Midcap Fund - Regular - Growth,2410.77,88.54,7,Pharma,Moderate
149324,DSP Small Cap Fund - Regular - Growth,1887.01,91.27,9,Pharma,Moderate
