investor_id,sip_count,avg_gap_days,max_gap_days,status,last_sip_date
INV000004,6,85.4,265,at-risk,2025-05-17
INV000008,6,70.4,165,at-risk,2025-05-14
INV000010,6,64.8,139,at-risk,2025-03-01
INV000011,7,40.17,125,at-risk,2024-08-31
INV000012,8,57.0,132,at-risk,2025-04-30
INV000013,7,55.33,104,at-risk,2025-03-16
INV000014,7,75.33,128,at-risk,2025-05-20
INV000023,8,58.57,115,at-risk,2025-05-05
INV000028,6,93.6,238,at-risk,2025-05-20
INV000029,7,60.67,96,at-risk,2025-05-15
INV000030,9,47.62,100,at-risk,2025-03-06
INV000033,8,45.57,87,at-risk,2025-05-09
INV000039,6,68.6,129,at-risk,2025-04-05
INV000045,6,70.6,109,at-risk,2025-03-01
INV000048,9,46.0,168,at-risk,2025-03-30
INV000052,6,36.2,120,at-risk,2024-09-28
INV000056,6,74.8,161,at-risk,2025-01-18
INV000057,8,49.71,149,at-risk,2025-04-13
INV000069,10,49.11,129,at-risk,2025-05-01
INV000072,6,83.0,247,at-risk,2025-05-13
INV000073,9,48.25,112,at-risk,2025-04-10
INV000074,8,72.57,191,at-risk,2025-05-30
INV000075,6,74.8,102,at-risk,2025-05-10
INV000076,6,91.8,203,at-risk,2025-05-10
INV000079,6,65.8,90,at-risk,2025-04-27
INV000081,7,81.33,167,at-risk,2025-05-03
INV000082,7,83.67,351,at-risk,2025-05-25
INV000086,10,44.67,167,at-risk,2025-03-13
INV000087,6,92.8,202,at-risk,2025-05-29
INV000091,8,44.0,105,at-risk,2024-11-07
INV000093,7,55.5,91,at-risk,2024-12-28
INV000094,6,44.8,95,at-risk,2024-11-14
INV000095,6,69.4,155,at-risk,2025-04-01
INV000097,7,54.5,183,at-risk,2025-04-02
INV000101,8,65.0,197,at-risk,2025-05-08
INV000102,8,65.29,109,at-risk,2025-05-13
INV000103,6,83.4,232,at-risk,2025-03-31
INV000105,8,57.0,87,at-risk,2025-02-04
INV000109,9,46.25,63,at-risk,2025-03-05
INV000113,8,46.0,144,at-risk,2024-12-29
INV000123,7,59.67,142,at-risk,2025-03-21
INV000128,6,82.0,181,at-risk,2025-05-03
INV000131,7,56.0,123,at-risk,2025-03-07
INV000132,6,71.0,139,at-risk,2025-05-02
INV000133,6,88.2,265,at-risk,2025-05-01
INV000138,6,76.2,220,at-risk,2025-05-22
INV000145,6,89.4,282,at-risk,2025-05-09
INV000146,6,66.8,171,at-risk,2025-01-11
INV000148,9,52.0,168,at-risk,2025-05-01
INV000155,7,37.33,99,at-risk,2025-01-28
INV000161,7,73.0,213,at-risk,2025-05-06
INV000163,8,61.0,80,at-risk,2025-03-08
INV000164,6,61.8,208,at-risk,2025-02-20
INV000169,7,67.83,145,at-risk,2025-04-28
INV000173,7,57.67,165,at-risk,2025-03-30
INV000175,7,83.67,170,at-risk,2025-05-28
INV000177,8,65.43,278,at-risk,2025-04-18
INV000180,6,61.8,229,at-risk,2025-03-12
