amfi_code,scheme_name,category,downside_deviation_pct,sortino_ratio
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,8.63,-0.4342
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,2.4,-1.3492
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,10.72,1.2259
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,8.18,1.1049
101207,ABSL Small Cap Fund - Regular - Growth,Equity,15.21,0.0884
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.38,-5.1816
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,7.3,0.7999
102886,UTI Mid Cap Fund - Regular - Growth,Equity,11.0,-0.393
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,8.97,0.5933
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,8.02,1.1571
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,7.89,0.6086
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,14.78,0.4353
118635,Nippon India ETF Nifty 50 BeES,Equity,7.47,0.6044
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,2.42,-1.1029
119092,Axis Bluechip Fund - Regular - Growth,Equity,8.27,-0.1629
119093,Axis Bluechip Fund - Direct - Growth,Equity,8.31,-0.0432
119094,Axis Midcap Fund - Regular - Growth,Equity,10.88,1.1201
119095,Axis Small Cap Fund - Regular - Growth,Equity,14.95,-0.2016
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,2.39,-0.96
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,7.62,1.3392
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,7.91,0.9914
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,14.16,1.0823
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,15.02,-0.178
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,7.96,0.7871
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,8.1,1.0972
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,10.79,1.3548
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,8.77,0.6163
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.35,-4.1908
120841,Kotak Bluechip Fund - Regular - Growth,Equity,7.81,0.397
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,10.74,-0.0635
120843,Kotak Flexicap Fund - Regular - Growth,Equity,8.7,1.5146
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.37,-4.571
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,8.37,0.7739
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,10.85,0.211
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,7.98,1.6343
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,8.75,0.9786
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,9.84,1.4175
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,8.41,0.3694
149323,DSP Midcap Fund - Regular - Growth,Equity,10.17,1.2496
149324,DSP Small Cap Fund - Regular - Growth,Equity,14.03,1.0834
