amfi_code,scheme_name,tracking_error_nifty50_pct,tracking_error_nifty100_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,19.6416,19.9284
100025,HDFC Short Term Debt Fund - Regular - Growth,13.6445,13.4535
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,22.9755,22.8699
101206,ABSL Frontline Equity Fund - Regular - Growth,19.1469,19.2706
101207,ABSL Small Cap Fund - Regular - Growth,29.17,29.2117
101208,ABSL Liquid Fund - Regular - Growth,12.8601,12.8957
102885,UTI Nifty 50 Index Fund - Regular - Growth,18.1926,18.368
102886,UTI Mid Cap Fund - Regular - Growth,22.6889,22.5608
102887,UTI Flexi Cap Fund - Regular - Growth,20.0152,20.2216
118632,Nippon India Large Cap Fund - Regular - Growth,18.8063,19.2115
118633,Nippon India Large Cap Fund - Direct - Growth,18.8979,19.3449
118634,Nippon India Small Cap Fund - Regular - Growth,28.2786,27.7286
118635,Nippon India ETF Nifty 50 BeES,18.4038,18.3076
118636,Nippon India Gilt Securities Fund - Regular - Growth,13.5744,13.4758
119092,Axis Bluechip Fund - Regular - Growth,19.1489,18.9082
119093,Axis Bluechip Fund - Direct - Growth,19.0759,18.79
119094,Axis Midcap Fund - Regular - Growth,23.7071,23.7652
119095,Axis Small Cap Fund - Regular - Growth,28.098,28.5781
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,13.3167,13.5646
119551,SBI Bluechip Fund - Regular Plan - Growth,19.312,19.1183
119552,SBI Bluechip Fund - Direct Plan - Growth,19.1428,19.2127
119598,SBI Small Cap Fund - Regular Plan - Growth,27.8033,28.3881
119599,SBI Small Cap Fund - Direct Plan - Growth,28.0273,27.7135
120503,ICICI Pru Bluechip Fund - Regular - Growth,18.9659,19.2948
120504,ICICI Pru Bluechip Fund - Direct - Growth,19.1376,19.1587
120505,ICICI Pru Midcap Fund - Regular - Growth,23.3124,23.1968
120506,ICICI Pru Value Discovery Fund - Regular - Growth,19.5381,19.6005
120507,ICICI Pru Liquid Fund - Regular - Growth,12.8912,12.9044
120841,Kotak Bluechip Fund - Regular - Growth,18.2494,18.3119
120842,Kotak Emerging Equity Fund - Regular - Growth,22.0357,21.9169
120843,Kotak Flexicap Fund - Regular - Growth,20.5148,20.6425
120844,Kotak Liquid Fund - Regular - Growth,12.8785,12.9046
125497,HDFC Top 100 Fund - Direct Plan - Growth,19.5589,19.1072
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,22.5501,22.3592
148567,Mirae Asset Large Cap Fund - Regular - Growth,19.3996,18.9664
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.09,20.3213
148569,Mirae Asset Tax Saver Fund - Regular - Growth,21.9389,21.7365
149322,DSP Top 100 Equity Fund - Regular - Growth,19.149,19.3264
149323,DSP Midcap Fund - Regular - Growth,21.8939,21.9521
149324,DSP Small Cap Fund - Regular - Growth,27.1789,27.917
