amfi_code,scheme_name,category,var_95_pct,cvar_95_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,-1.2878,-1.6768
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,-0.3337,-0.4581
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,-1.6898,-2.185
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,-1.2171,-1.6075
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-2.3906,-3.0289
101208,ABSL Liquid Fund - Regular - Growth,Debt,-0.0218,-0.0371
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,-1.1046,-1.4381
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-1.6857,-2.1771
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,-1.3743,-1.7964
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,-1.233,-1.6328
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,-1.2062,-1.5542
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,-2.2806,-2.994
118635,Nippon India ETF Nifty 50 BeES,Equity,-1.1031,-1.4938
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,-0.3342,-0.4541
119092,Axis Bluechip Fund - Regular - Growth,Equity,-1.2692,-1.6166
119093,Axis Bluechip Fund - Direct - Growth,Equity,-1.2588,-1.6332
119094,Axis Midcap Fund - Regular - Growth,Equity,-1.699,-2.2375
119095,Axis Small Cap Fund - Regular - Growth,Equity,-2.3272,-2.969
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,-0.3428,-0.4618
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,-1.1827,-1.523
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,-1.2127,-1.6078
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,-2.1469,-2.8444
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-2.3155,-3.0163
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,-1.2131,-1.61
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,-1.253,-1.6226
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,-1.6212,-2.2363
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,-1.3,-1.7792
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,-0.0196,-0.0325
120841,Kotak Bluechip Fund - Regular - Growth,Equity,-1.1723,-1.5249
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,-1.6948,-2.1251
120843,Kotak Flexicap Fund - Regular - Growth,Equity,-1.3327,-1.7114
120844,Kotak Liquid Fund - Regular - Growth,Debt,-0.0204,-0.0362
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,-1.2502,-1.6964
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,-1.6755,-2.1484
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,-1.2603,-1.6343
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,-1.3312,-1.7384
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,-1.5258,-1.9852
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,-1.2954,-1.6995
149323,DSP Midcap Fund - Regular - Growth,Equity,-1.5865,-2.0903
149324,DSP Small Cap Fund - Regular - Growth,Equity,-2.1519,-2.8573
